Country/Region,Continent,Visitors,Average_Stay
New Zealand,Oceania,12615279,12.7
Japan,Asia,3928947,25.8
Hong Kong,Asia,2155394,32
Singapore,Asia,3439987,17.7
Malaysia,Asia,3071444,27.2
Indonesia,Asia,1589234,33.3
Taiwan,Asia,1371649,63.6
Thailand,Asia,857352,49.1
Korea,Asia,2388500,55.9
China,Asia,9346167,45.8
India,Asia,2356463,60.4
Other Asia,Asia,2658909,57.5
United States of America,North America,6348475,22.2
Canada,North America,1557864,35
United Kingdom,Europe,7093982,36.3
Germany,Europe,1938920,46.3
Scandinavia,Europe,1052891,40.9
France,Europe,1267659,56.7
Italy,Europe,737010,60.1
Netherlands,Europe,545778,41.3
Switzerland,Europe,529974,34.1
Other Europe,Europe,2367409,46.6
Other Countries,Other,4853159,39.9
